"","name1","name2","Gaussian","Mammen","Rademacher","GCM","PCD","PCIT","PCoT","cdCov"
"1","CS","CD",0.001,0,0,0.002,8888,0.0506721786375185,0.000314108048955819,0.01
"2","CS","CSt",0.0138,0.0112,0.0124,0.002,8888,0.113837254287526,0.000118210723770051,0.01
"3","CS","Eng",0.3648,0.3498,0.3706,0.046,8888,0.22006807252718,0.501793295200412,0.01
"4","CS","Fin",0.27,0.2618,0.2412,0.01,8888,0.146325144726854,0.00232568992467153,0.01
"5","CS","HC",0.0146,0.0138,0.0104,0.004,8888,0.00239164763406641,0.0220440454443664,0.01
"6","CS","Ind",0.0248,0.02,0.0162,0.078,8888,0.531189165004776,0.170391302439882,0.01
"7","CS","IT",0,0,0,0.002,8888,0.0502489015263897,0.0331712732348119,0.01
"8","CS","Mat",0.2512,0.2316,0.218,0.006,8888,0.000314523449689408,9.13312467748506e-05,0.01
"9","CS","RE",0.3076,0.3006,0.2934,0.004,8888,0.0997801661104371,0.0652134581481582,0.01
"10","CS","Uti",0.1642,0.152,0.15,0.01,8888,0.581716307639056,0.0617292928987103,0.01
"11","CD","CSt",0,0,0,0.002,8888,0.137088722124477,0.00268559592028494,0.01
"12","CD","Eng",0.506,0.5148,0.4966,0.924,8888,0.00137738638535778,0.0117403556681209,0.01
"13","CD","Fin",0.2388,0.2298,0.204,0.046,8888,0.00456844054283256,0.0360543119415691,0.01
"14","CD","HC",0.2542,0.2266,0.2186,0.004,8888,0.346165728880295,0.0129139339011087,0.01
"15","CD","Ind",0,0,0,0.002,8888,0.00522965817287957,0.019692417360938,0.01
"16","CD","IT",0.0112,0.0072,0.009,0.002,8888,0.0386714836784799,0.00319481436734914,0.01
"17","CD","Mat",0.1584,0.1426,0.1362,0.016,8888,0.00304682286351965,6.63395374902453e-05,0.01
"18","CD","RE",0.0016,0.0012,4e-04,0.002,8888,0.0757962760394995,0.000101402135475936,0.01
"19","CD","Uti",0.5596,0.5388,0.5338,0.074,8888,0.054526570794403,0.667322638500889,0.01
"20","CSt","Eng",0.7526,0.7478,0.7504,0.196,8888,0.130545536725506,0.015070050926926,0.01
"21","CSt","Fin",0.1096,0.111,0.0962,0.002,8888,0.000370651846289261,0.315274525701325,0.01
"22","CSt","HC",0,0,0,0.002,8888,0.000625602813824955,2.18148810127161e-08,0.01
"23","CSt","Ind",0.2602,0.2322,0.2082,0.012,8888,0.0103354354492823,0.0259859812113497,0.01
"24","CSt","IT",0.3976,0.3754,0.3518,0.004,8888,0.00702676818757952,0.000584959366607407,0.01
"25","CSt","Mat",0.0026,0.0012,0.0016,0.002,8888,0.321663866724023,0.00107576326549552,0.01
"26","CSt","RE",0.0948,0.0992,0.085,0.002,8888,0.00350756991817069,0.000306263113688199,0.01
"27","CSt","Uti",0.0166,0.0146,0.0152,0.002,8888,1.45672557405607e-06,7.78069535467552e-08,0.01
"28","Eng","Fin",0.599,0.6134,0.576,0.004,8888,0.104790513422586,9.69580496834599e-06,0.01
"29","Eng","HC",0.498,0.483,0.4768,0.146,8888,0.627204852759175,0.451168572817524,0.01
"30","Eng","Ind",0,0,0,0.002,8888,0.1754865322921,5.41903795170384e-08,0.01
"31","Eng","IT",0.4056,0.4074,0.4,0.002,8888,0.0789168928458405,0.0303335918861563,0.01
"32","Eng","Mat",0.0148,0.0122,0.0096,0.002,8888,0.0848282276219612,8.00343095336276e-05,0.01
"33","Eng","RE",0.1004,0.0864,0.0832,0.028,8888,0.136877062892468,0.0547046572613564,0.01
"34","Eng","Uti",0.0848,0.081,0.0728,0.014,8888,0.0563851058799392,0.0195127699990315,0.01
"35","Fin","HC",0.0042,0.0046,0.0026,0.004,8888,0.073276158989359,0.0748881911767186,0.01
"36","Fin","Ind",0,0,0,0.002,8888,0.00203646876206232,1.08185316261e-09,0.01
"37","Fin","IT",0.3284,0.2984,0.294,0.002,8888,0.00349008699631204,0.0257823529324531,0.01
"38","Fin","Mat",0.011,0.0124,0.0086,0.018,8888,0.000989009803077479,3.78268543155258e-08,0.01
"39","Fin","RE",0,0,0,0.002,8888,0.0715017968312684,0.000338604082686933,0.01
"40","Fin","Uti",0.3586,0.347,0.3352,0.012,8888,0.195204308948724,0.0163830487244185,0.01
"41","HC","Ind",0.2804,0.2632,0.2382,0.012,8888,0.255230794013546,0.0435126979023603,0.01
"42","HC","IT",0.0188,0.0158,0.0138,0.002,8888,0.150569111194662,0.0120801888174753,0.01
"43","HC","Mat",0.0586,0.055,0.0414,0.032,8888,0.206218868317856,0.43064765043569,0.01
"44","HC","RE",0.0296,0.028,0.0226,0.002,8888,0.28914812777362,0.014560323756313,0.01
"45","HC","Uti",0.1476,0.1514,0.1546,0.006,8888,0.243278355108624,0.0899797615389523,0.01
"46","Ind","IT",0,0,0,0.002,8888,0.0149493328539189,0.210930272127516,0.01
"47","Ind","Mat",0.026,0.0216,0.0218,0.002,8888,0.383404047850083,6.26358853672571e-10,0.01
"48","Ind","RE",0.1538,0.1252,0.1286,0.01,8888,0.365766096647685,0.00169211427028959,0.01
"49","Ind","Uti",0.0328,0.026,0.0228,0.002,8888,0.033321688932669,0.00756111108897184,0.01
"50","IT","Mat",0.0518,0.0466,0.046,0.028,8888,0.060949769765723,0.00327504356159969,0.01
"51","IT","RE",0.0084,0.0048,0.0036,0.018,8888,0.135321706571307,0.121411577328923,0.01
"52","IT","Uti",0.3342,0.3176,0.3012,0.026,8888,0.122036313195704,0.432437657038232,0.01
"53","Mat","RE",0.5324,0.4894,0.4964,0.072,8888,0.0143230700882564,0.000570663345931588,0.01
"54","Mat","Uti",0.0818,0.0692,0.0698,0.004,8888,0.00134372352806933,9.96669183973564e-05,0.01
"55","RE","Uti",0.001,0.0016,6e-04,0.002,8888,1.14072493340167e-06,2.22044604925031e-16,0.01
