name1,name2,pv
CD,HC,0
CD,IT,0
CD,Mat,0
Fin,IT,0
Fin,RE,0
Fin,Uti,0
Ind,IT,0
Ind,RE,0
Ind,Uti,0
IT,Mat,0
IT,RE,0
IT,Uti,0
CD,Ind,0.0002
CSt,Eng,0.0002
Fin,Ind,0.0002
HC,Ind,0.0002
HC,IT,0.0004
HC,Uti,0.0004
Fin,HC,0.0006
CD,Fin,0.0008
CSt,Uti,0.0014
CSt,Mat,0.0018
CD,CSt,0.0024
HC,RE,0.0026
CD,Eng,0.0032
RE,Uti,0.0038
Ind,Mat,0.0054
CS,Mat,0.008599999
CD,RE,0.010199999
CS,CD,0.014
Mat,Uti,0.014
Fin,Mat,0.015199999
CS,Ind,0.0164
CSt,HC,0.018199999
CSt,Ind,0.0206
Eng,RE,0.027199998
Eng,IT,0.030399999
Eng,Fin,0.0336
CD,Uti,0.0346
CS,IT,0.04
Mat,RE,0.045199998
CSt,IT,0.055999998
Eng,HC,0.063599996
Eng,Mat,0.0646
HC,Mat,0.1458
Eng,Ind,0.2056
CS,Eng,0.20639999
CSt,Fin,0.21139999
CS,CSt,0.24399999
CS,RE,0.2642
CSt,RE,0.30719998
CS,Fin,0.3356
CS,Uti,0.3884
CS,HC,0.5602
Eng,Uti,0.622
